Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,ID,2025,12,Male,23,Right-Handed,182,27,193,1,Other,3,0.34,39,Other,10,10,24,15,89,93,27,Same length,79,78,Same length,January,Spring,Yes,No,Meat,Water,Other,9,10.5,6,Yes - broadband connection,In person,25,21,14,1,10,0,7,0,10,12,21,0,0,3,Some,Some college,Reggae,Fly,Healthy,Other,Health
USA,ID,2025,12,Male,21,Left-Handed,177,29,?,1,Walk,15,0.406,38,Basketball,590,410,650,700,415,999,29,Same length,54,56,Index finger,November,Fall,No,No,Rice/Noodle dishes,Milk,History,6,5,5,Yes - broadband connection,Text messaging,13,15,12,2,16,2,6,6,4,2,4,6,0,2,Some,Graduate degree,Pop,Freeze time,Happy,Relative,Religious
USA,ID,2025,12,Male,21,Right-Handed,183,29,179,2,Walk,10,0.389,37,Swimming,988,460,668,588,829,824,28,Right foot,80,78,Index finger,September,Fall,Yes,No,Meat,Water,Science,7,9,4,Yes - broadband connection,Text messaging,54,68,12,2,15,8,4,0,6,2,8,0,0,4,Some,Graduate degree,Rhythm and blues (R&B),Fly,Happy,Relative,Environment
USA,ID,2025,12,Male,22,Right-Handed,181,idk,181,1,Walk,14,0.364,32,Tennis,0,700,300,750,1000,1000,idk,Same length,idk,idk,Ring finger,March,Fall,,No,Breads/Sandwiches,Water,History,,8,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",0,2,0,1,5,0,0,0,15,2,7,20,0,0,Some,Undergraduate degree,Other,Super strength,Rich,Relative,"Wildlife, animals"
USA,ID,2025,12,Male,25,Right-Handed,172,28,170,3,Car,5,0.4,56,Soccer,900,800,900,700,500,600,27,Same length,75,77,Ring finger,September,Winter,No,No,Meat,Water,Computers and technology,8,8,2,,Text messaging,30,25,0,1,7,10,2,0,3,1,5,3,20,8,Some,Graduate degree,Rap/Hip hop,Fly,Rich,,International aid
USA,ID,2025,12,Male,20,Right-Handed,163,,,2,Walk,15,0.364,38,Soccer,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,A lot,Graduate degree,Jazz,Freeze time,Happy,Sports person,"Arts, culture, sports"
USA,ID,2025,12,Male,20,Right-Handed,163,22,162,2,Walk,15,0.364,38,Soccer,850,700,800,800,400,300,22,Same length,56,61,Ring finger,May,Summer,No,No,Seafood,Soft drink (non-caffeinated),Computers and technology,8,9,6,Yes - broadband connection,Internet chat or instant messaging,35,40,8,2,12,1,12,8,6,4,10,0,0,0,A lot,Graduate degree,Jazz,Freeze time,Happy,Sports person,"Arts, culture, sports"
USA,ID,2025,12,Male,25,Right-Handed,168,28,155,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,ID,2025,12,Male,25,Right-Handed,168,28,155,1,Car,10,0.366,35,None,,,,,,,28,Same length,45,45,Same length,April,Fall,No,No,Meat,Water,Computers and technology,6.5,9,4,Yes - other,Internet chat or instant messaging,7,12,4,4,10,0,0,10,3,2,20,5,0,4,A lot,Graduate degree,Other,Freeze time,Happy,Relative,"Wildlife, animals"
USA,ID,2025,12,Male,22,Right-Handed,182,24,180,2,Car,7,0.338,34,Tennis,700,400,500,800,800,800,24,Same length,76,76,Same length,May,Fall,No,No,Meat,Water,Computers and technology,8,10,2,Yes - broadband connection,Text messaging,7,10,2,1,15,1,4,8,6,2,20,6,7,15,A lot,Undergraduate degree,Other,Freeze time,Rich,Relative,Health
